Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss,Features Not Used,Test AUC (From Kaggle),,,
SVM,,,,,,,,,,,,Discrete Data
SVM,,,,,,,,,,,,
SVM,,,,,,,,,,,,
SVM,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SVM,,,,,,,,,,,,Log Transform
SVM,,,,,,,,,,,,
SVM,,,,,,,,,,,,
SVM,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SVM,,,,,,,,,,,,Difference
SVM,,,,,,,,,,,,
SVM,,,,,,,,,,,,
SVM,,,,,,,,,,,,
